taxon_sciname,year,catch_spp,usd_spp,usd_kg_2014
Sphyrna,2014,2749.1756185168306,3397417.2286429424,1.2357949073023702
Sphyrna lewini,2014,1368.9483205423635,731829.4088487428,0.5345924297264921
Sphyrna mokarran,2014,877.7048229290468,428944.2408437612,0.48871127244385304
Sphyrna zygaena,2014,6906.162726560058,4670198.1641805265,0.676236333994803
Sphyrnidae,2014,158.4289126011478,198549.8156019711,1.253242304968851
Spicara,2014,690.7974269331729,1224357.9279794814,1.7723834517089547
Spicara maena,2014,72.11508127395983,149849.67639769107,2.0779242531589652
Spicara smaris,2014,1752.738,3174743.9007545444,1.8113054550962804
Spisula,2014,9.393950633100005,14946.022188795796,1.5910262649382911
Spisula ovalis,2014,2.5189393939393945,3685.385160359849,1.463070199
Spisula solida,2014,147.19999999999996,215363.9332928,1.4630701990000003
Spisula solidissima,2014,92633.41602625955,140885571.82622397,1.5208936242433937
Spondyliosoma cantharus,2014,5940.211764239334,17098609.572225332,2.878451181683566
Spratelloides gracilis,2014,310.0251966885755,86955.83972364763,0.280479911479569
Sprattus fuegensis,2014,25.91084892488135,8463.609660814613,0.3266434722131888
Sprattus sprattus,2014,472277.9693494759,387943089.8096513,0.8214295711146785
Squalidae,2014,2472.750874875127,3168218.725768016,1.2812526963226776
Squaliformes,2014,122.61310135396148,99123.96477814941,0.8084288194619329
Squalus,2014,82.07297377158743,83642.27845267828,1.0191208458640513
Squalus acanthias,2014,5483.7015883845625,9380479.578317633,1.7106108760890868
Squalus blainville,2014,207.77316721357957,761211.3752111366,3.6636654550712633
Squatina argentina,2014,207,262364.61433499993,1.2674619049999996
Squatina squatina,2014,7.47,8677.702882619998,1.161673746
Squatinidae,2014,44.3746217268,65671.61981198752,1.4799364424176087
Squilla mantis,2014,3612.4791899999977,26716633.899588417,7.395650602928023
Squillidae,2014,222762.27572377017,82332925.73771974,0.36959994896000375
Stellifer rastrifer,2014,1.9096511761,8219.865225962543,4.304380469499999
Stenotomus chrysops,2014,2446.826294136004,3584762.5057035647,1.4650662019999976
Stephanolepis cirrhifer,2014,2695.5129784877026,7981457.896889445,2.9610163113988723
Stephanolepis hispidus,2014,128.4077137536,187869.49931461463,1.4630701990000001
Stichopus,2014,495.8149958936006,1576509.6132630417,3.1796327789999976
Stolephorus,2014,176933.70988169938,131001399.19899672,0.7403981936883949
Stomatopoda,2014,176.7,506068.7999999999,2.8639999999999994
Stomolophus,2014,78256,114494021.49294394,1.4630701989999992
Strangomera bentincki,2014,121083.27000121084,35834978.377995364,0.29595317650107245
Stromateidae,2014,44724.88274883583,45247878.437917456,1.0116936178909322
Stromateus brasiliensis,2014,1.8007539793353808,3762.1701331537333,2.0892193916140998
Stromateus fiatola,2014,2898.6651455260003,4815897.065212137,1.661418902643972
Strongylocentrotus,2014,2377,3477717.863022999,1.4630701989999995
Synanceiidae,2014,0.0606240448,44.10660509427459,0.7275430935
Synodontidae,2014,373900.6358709785,57281073.5146297,0.15319865231359386
Taractichthys steindachneri,2014,39.49642984681121,57786.04947576354,1.463070198999998
Tautoga onitis,2014,5.152351528,31376.81688528183,6.089805153000002
Tegillarca granosa,2014,3309.895720926611,6816370.183825681,2.0593912191038535
Tellina,2014,12.44090909090909,123715.01313830876,9.944210043999973
Tenualosa ilisha,2014,13032.3215326827,3169639.113113239,0.2432136979711833
Terapon,2014,7472.247179589561,18011483.600194324,2.4104507208209975
Terapon jarbua,2014,0.8487366266,1646.6465890221823,1.9401149159999997
Terapontidae,2014,345.57556514144267,862151.76781017,2.4948284970822363
Tetraodontidae,2014,14811.70071200232,13929815.384439776,0.9404602250133282
Tetrapturus angustirostris,2014,49.17443307186392,152017.92908143476,3.0914017627671377
Tetrapturus belone,2014,117.99999999999999,886923.2318154663,7.516298574707343
Tetrapturus pfluegeri,2014,14.180819661205605,42814.07004728171,3.01915341074451
Teuthida,2014,497850.8631067822,739283203.3806642,1.4849491246580366
Thalassoma pavo,2014,0.0127749895702962,25.5372041510221,1.9989999999999997
Thenus orientalis,2014,1030.7845088564438,8550608.376723193,8.295243383322932
Theragra chalcogramma,2014,3095201.983605644,970791636.6758833,0.3136440341592811
Thryssa,2014,277.29683886964085,192751.97864271924,0.6951106237937796
