scientificname,commonname,taxGroup,stockid
Haliotis midae,South African abalone,bivalves-gastropods,SAABALONESA
Anoplopoma fimbria,Sablefish,other scorpaenids,SABLEFEBSAIGA
Istiophorus albicans,Sailfish,tuna-billfish,SAILEATL
Sardinops sagax,Pacific sardine,forage fish,SARDBC
Sardinella spp,Sardinella,forage fish,SARDINWA
Sardina pilchardus,European pilchard,forage fish,SARDMEDGSA1
Cololabis saira,Pacific saury,forage fish,SAURNWPAC
Carcharhinus plumbeus,Sandbar shark,elasmobranchs,SBARSHARATL
Sebastes jordani,Shortbelly rockfish,sebastids,SBELLYROCKPCOAST
Epigonus crassicaudus,Deepwater cardinalfish,other marine percoidids,SBREAMCH
Thunnus maccoyii,Southern bluefin tuna,tuna-billfish,SBT
Micromesistius australis,Southern blue whiting,gadids,SBWHITACIR
Placopecten magellanicus,Sea scallop,bivalves-gastropods,SCALL3Ps
Sphyrna lewini,Scalloped hammerhead,elasmobranchs,SCHHEADATL
Metanephrops challengeri,Scampi,crabs-lobsters,SCMPBP
Stenotomus chrysops,Scup,other marine percoidids,SCUPNWATLC
Squalus acanthias,Spiny dogfish,elasmobranchs,SDOG4VWX5
Leucoraja circularis,Sandy ray,elasmobranchs,SDRAYVI-VII
Ammodytes spp,Sand eel,forage fish,SEELNSSA1
Raja microocellata,Smalleyed ray,elasmobranchs,SERAYVIIde
Paralichthys dentatus,Summer flounder,pleuronectids,SFLOUNMATLC
Isurus oxyrinchus,Shortfin mako,elasmobranchs,SFMAKONWPAC
Leucoraja fullonica,Shagreen ray,elasmobranchs,SGRAYVI-VII
Merluccius bilinearis,Silver hake,gadids,SHAKE4VWX
Oratosquilla oratoria,Shako,shrimps,SHAKOIMKB
Sebastes zacentrus,Sharpchin rockfish,sebastids,SHCROCKPCOAST
Mustelus spp,Smooth hound,elasmobranchs,SHSPPNEATL
Seriolella punctata,Silverfish,other marine fish,SILVERFISHSE
Katsuwonus pelamis,Skipjack tuna,tuna-billfish,SKJCIO
Lutjanus vivanus,Silk snapper,other marine percoidids,SKSNAPCARIB
Mustelus canis,Smooth dogfish,elasmobranchs,SMDOGATL
Pseudocyttus maculatus,Smooth oreo,other marine fish,SMOOTHOREOBP
Malacoraja senta,Smooth skate,elasmobranchs,SMOOTHSKA2J3K
Squilla mantis,Spottail mantis shrimp,shrimps,SMSHRMPMEDGSA10
Mullus surmuletus,Surmullet,other marine percoidids,SMULLMEDGSA15-16
Rhizoprionodon terraenovae,Atlantic sharpnose shark,elasmobranchs,SNOSESHARATL
Chionoecetes opilio,Snow crab,crabs-lobsters,SNOWCRAB2HJ
Epinephelus niveatus,Snowy grouper,other marine percoidids,SNOWGROUPSATLC
Sebastes diploproa,Splitnose rockfish,sebastids,SNROCKPCOAST
Solea solea,Common sole,pleuronectids,SOLECS
Cynoglossus spp,Sole,pleuronectids,SOLEWASG1
Merluccius australis,Southern hake,gadids,SOUTHHAKECH
Scomberomorus niphonius,Japanese Spanish mackerel,carangids-mackerels,SPANMACKECS
Scomberomorus maculatus,Spanish mackerel,carangids-mackerels,SPANMACKGM
Merluccius gayi,South Pacific hake,gadids,SPHAKECH
Sprattus sprattus,Sprat,forage fish,SPRAT22-32
Raja montagui,Spotted ray,elasmobranchs,SPRAYIIIa-IV-VIId
Squalus suckleyi,Spotted spiny dogfish,elasmobranchs,SPSDOGPCOAST
Farfantepenaeus notialis,Southern pink shrimp,shrimps,SPSHRIMPWA
Loligo bleekeri,Spear squid,cephalopods,SPSQUIDPAC
Sebastes borealis,Shortraker rockfish,sebastids,SRAKEROCKBSAI
Oncorhynchus nerka,Sockeye salmon,salmonids,SSALMA1
Arctoscopus japonicus,Sailfin sandfish,other marine fish,SSANDNSJ
Sprattus fuegensis,Southern sardine,forage fish,SSARDCH
Mya arenaria,Softshell clam,bivalves-gastropods,SSCLAMQCW
Pandalopsis dispar,Sidestripe shrimp,shrimps,SSHRIMPSMAGTSE
Palinurus gilchristi,Southern spiny lobster,crabs-lobsters,SSLOBSTERSASC
Sebastolobus alascanus,Shortspine thornyhead,sebastids,SSTHORNHGA
Platichthys stellatus,Starry flounder,pleuronectids,STFLOUNNPCOAST
Kajikia audax,Striped marlin,tuna-billfish,STMARLINIO
Amblyraja radiata,Starry ray,elasmobranchs,STRAYII-IIIa-IV
Morone saxatilis,Striped bass,other marine percoidids,STRIPEDBASSGOMCHATT
Salmo trutta,Sea trout,salmonids,STROUT22-32
Pandalus montagui,Aesop shrimp,shrimps,STRSHRIMPSFA2-3
Uroteuthis edulis,Swordtip squid,cephalopods,STSQUIDSOJECS
Spisula solidissima,Atlantic surfclam,bivalves-gastropods,SURFMATLC
Sillago flindersi,School whiting,other marine percoidids,SWHITSE
Xiphias gladius,Swordfish,tuna-billfish,SWORDEPAC
Chionoecetes bairdi,Tanner crab,crabs-lobsters,TANNERCRABBSAI
Pseudocarcinus gigas,Tasmanian giant crab,crabs-lobsters,TASGIANTCRABTAS
Raja clavata,Thornback skate,elasmobranchs,TBSKAIIIa-IV-VIId
Galeoides decadactylus,Threadfin,other marine percoidids,THREADWASG1
Neoplatycephalus richardsoni,Tiger flathead,other scorpaenids,TIGERFLATSE
Lopholatilus chamaeleonticeps,Tilefish,other marine percoidids,TILEGM
Galeorhinus galeus,Tope shark,elasmobranchs,TPSHARNEATL
Pseudocaranx dentex,Trevally,carangids-mackerels,TREVALLYTRE7
Scophthalmus maximus,Turbot,pleuronectids,TUR2232
Psetta maxima,Turbot,pleuronectids,TURBLKGSA29
Raja undulata,Undulate ray,elasmobranchs,URAYVIIde
Rhomboplites aurorubens,Vermilion snapper,other marine percoidids,VSNAPGM
Lophius piscatorius,White anglerfish,other marine fish,WANGLGSA1-7
Seriolella brama,Blue warehou,other marine fish,WAREHOUESE
Cynoscion regalis,Weakfish,other marine percoidids,WEAKFISHATLC
Urophycis tenuis,White hake,gadids,WHAKE3Ps
Merlangius merlangus,Whiting,gadids,WHITIIIa
Scophthalmus aquosus,Windowpane flounder,pleuronectids,WINDOWGOMGB
Pseudopleuronectes americanus,Winter flounder,pleuronectids,WINFLOUN4T
Glyptocephalus cynoglossus,Witch flounder,pleuronectids,WITFLOUN3Ps
Tanakius kitaharae,Willowy flounder,pleuronectids,WLFLOUNNPAC
Tetrapturus albidus,White marlin,tuna-billfish,WMARLINATL
Sebastes entomelas,Widow rockfish,sebastids,WROCKPCOAST
Conger myriaster,Whitespotted conger,eels,WSCONGIMKB
Litopenaeus setiferus,White shrimp,shrimps,WSHRIMPGM
Leucoraja ocellata,Winter skate,elasmobranchs,WSKAT5YCHATT
Patinopecten caurinus,Weathervane scallop,bivalves-gastropods,WVSCALLALASKA
Buccinum undatum,Waved whelk,bivalves-gastropods,WWHELKQCW
Epinephelus flavolimbatus,Yellowedge grouper,other marine percoidids,YEGROUPGM
Limanda ferruginea,Yellowtail flounder,pleuronectids,YELL3LNO
Sebastes ruberrimus,Yelloweye rockfish,sebastids,YEYEROCKGA
Thunnus albacares,Yellowfin tuna,tuna-billfish,YFINATL
Lophius litulon,Yellow goosefish,other marine fish,YGSFISHNPAC
Zearaja chilensis,Yellownose skate,elasmobranchs,YNOSESKACSCH
Pseudopleuronectes herzensteini,Yellow striped flounder,pleuronectids,YSFLOUNNHOKK
Limanda aspera,Yellowfin sole,pleuronectids,YSOLEBSAI
Sebastes flavidus,Yellowtail rockfish,sebastids,YTROCKNPCOAST
Ocyurus chrysurus,Yellowtail snapper,other marine percoidids,YTSNAPSATLCGM
